"","nearest_region_name","time","total_precipitation"
"274","Andorra","2021-02-01",11.1189291831106
"275","Andorra","2021-03-01",16.1435478624189
"276","Andorra","2021-04-01",85.5603382065892
"277","Andorra","2021-05-01",96.0922543480992
"278","Andorra","2021-06-01",15.8213339997455
"279","Andorra","2021-07-01",19.9016122834291
"280","Andorra","2021-08-01",15.7161285083275
"281","Angola","2017-01-01",2.92677408852614
"282","Angola","2017-02-01",3.22000013638171
"283","Angola","2017-03-01",13.6451609963551
"284","Angola","2017-04-01",61.085670370725
"285","Angola","2017-05-01",198.657090132125
"286","Angola","2017-06-01",627.368039575289
"287","Angola","2017-07-01",831.432887723146
"288","Angola","2017-08-01",994.358036522754
"289","Angola","2017-09-01",590.370698727667
"290","Angola","2017-10-01",147.487416214426
"291","Angola","2017-11-01",78.6703387150774
"292","Angola","2017-12-01",3.37645148503361
"293","Angola","2018-01-01",4.79677400062792
"294","Angola","2018-02-01",18.4707149617316
"295","Angola","2018-03-01",15.524193118501
"296","Angola","2018-04-01",40.286335768702
"297","Angola","2018-05-01",64.6422568345443
"298","Angola","2018-06-01",359.495017309207
"299","Angola","2018-07-01",418.066441860516
"300","Angola","2018-08-01",760.656426798552
"301","Angola","2018-09-01",804.460716918111
"302","Angola","2018-10-01",254.223541034735
"303","Angola","2018-11-01",79.0760031662649
"304","Angola","2018-12-01",10.0761286649504
"305","Angola","2019-01-01",6.8009675994399
"306","Angola","2019-02-01",13.0882149716781
"307","Angola","2019-03-01",28.8906440942665
"308","Angola","2019-04-01",70.1233363841311
"309","Angola","2019-05-01",164.773221848824
"310","Angola","2019-06-01",259.234347195714
"311","Angola","2019-07-01",657.962884687353
"312","Angola","2019-08-01",982.091260115558
"313","Angola","2019-09-01",573.02303468436
"314","Angola","2019-10-01",409.41740783304
"315","Angola","2019-11-01",101.039005404047
"316","Angola","2019-12-01",8.62032238079701
"317","Angola","2020-01-01",3.42903219372965
"318","Angola","2020-02-01",7.78571455410566
"319","Angola","2020-03-01",22.1474184423569
"320","Angola","2020-04-01",90.5503372072126
"321","Angola","2020-05-01",210.547090007691
"322","Angola","2020-06-01",259.763344109524
"323","Angola","2020-07-01",801.593196707545
"324","Angola","2020-08-01",604.781918091816
"325","Angola","2020-09-01",888.535713115707
"326","Angola","2020-10-01",332.851925343275
"327","Angola","2020-11-01",65.2563369781128
"328","Angola","2020-12-01",15.0864511354593
"329","Angola","2021-01-01",2.88129030546406
"330","Angola","2021-02-01",6.66178598382976
"331","Angola","2021-03-01",21.2316125225043
"332","Angola","2021-04-01",33.6126684137853
"333","Angola","2021-05-01",161.681930585881
"334","Angola","2021-06-01",230.121680542827
"335","Angola","2021-07-01",704.376110000885
